,PMID,database,title,abstract,nerve_transfer,double_innervation_type,free_flap,other_tissue,negative_outcome,positive_outcome,measuring_tool,tool_category,botox,doi,citation,authours,year,pmid,notes,patients,time_to_reinnervation_(min),time_to_reinnervation_(max),Age,min age,max age,follow up min,follow up max,old_notes,Notes_y,nerve_transfer_type_1,nerve_transfer_type_2,nerve_transfer_type_3,other_free_flap_type_1,free_flap_type_1,free_flap_type_2,free_flap_type_3
10,8457301,Pub-med,Temporalis muscle for facial reanimation. A 13-year experience with 224 procedures,"A procedure for temporalis muscle transposition was used to reanimate the paralyzed face in 219 patients. In most cases, facial paralysis had followed an operation to remove an acoustic tumor. Analysis of the results showed this procedure to be highly successful and the method of choice, alone in cases of long-standing facial paralysis or to augment the effects of facial nerve grafting or hypoglossal-facial nerve anastomosis, in reanimating the mouth. It was successful in restoring a smile to 80% of the 219 patients and provided overall improvement in mouth function in 96%. Complications occurred in 21% of patients, with the most common being infection (12% of patients). Since one of us began to use the procedure to reanimate the eye and mouth, results of temporalis muscle transposition have been improved by the following: (1) using the procedure to reanimate the mouth only; (2) performing revision surgery, most often tightening the corner of the mouth (25% of patients), as indicated; (3) transposing only the midsection of the muscle; (4) implanting a prefabricated Silastic prosthesis to fill the muscle defect; (5) when indicated, lengthening the muscle with polytef (Gore-Tex+); and (6) placing the muscle in a tunnel lateral to the superficial musculoaponeurotic system to avoid injuring the underlying facial nerve should some spontaneous recovery of facial nerve function be possible.",3,,0,1,9.0,9,2,1,0,10.1001/archotol.1993.01880160022004,Arch Otolaryngol Head Neck Surg. 1993 Apr;119(4):378-82; discussion 383-4. doi: 10.1001/archotol.1993.01880160022004.,"May M, Drucker C.",1993,8457301,"Neg: infection, hematoma, extrusion of implant, extrusion of suture, seroma, wound dehiscence",219.0,,,30.0,11.0,56.0,,,Multiple nerve grafts:hypoglossal,,Hypoglossal nerve transfer,,,,,,
11,9010420,Pub-med,Hypoglossal-facial nerve side-to-end anastomosis for preservation of hypoglossal function: results of delayed treatment with a new technique,"This report describes a new surgical technique to improve the results of conventional hypoglossal-facial nerve anastomosis that does not necessitate the use of nerve grafts or hemihypoglossal nerve splitting. Using this technique, the mastoid process is partially resected to open the stylomastoid foramen and the descending portion of the facial nerve in the mastoid cavity is exposed by drilling to the level of the external genu and then sectioning its most proximal portion. The hypoglossal nerve beneath the internal jugular vein is exposed at the level of the axis and dissected as proximally as possible. One-half of the hypoglossal nerve is transected: use of less than one-half of the hypoglossal nerve is adequate for approximation to the distal stump of the atrophic facial nerve. The nerve endings, the proximally cut end of the hypoglossal nerve, and the distal stump of the facial nerve are approximated and anastomosed without tension. This technique was used in four patients with long-standing facial paralysis (greater than 24 months), and it provided satisfactory facial reanimation, with no evidence of hemitongue atrophy or dysfunction. Because it completely preserves glossal function, the hemihypoglossal-facial nerve anastomosis described here constitutes a successful approach in patients with long-standing facial paralysis who do not wish to have tongue function compromised.",3,,0,0,0.0,7,4,1,0,10.3171/jns.1997.86.2.0203,J Neurosurg. 1997 Feb;86(2):203-6. doi: 10.3171/jns.1997.86.2.0203.,"Sawamura Y, Abe H.",1997,9010420,May's grading system,4.0,8.0,12.0,,,,,,"Multiple nerve grafts:hypoglossal,anastomosis",,Hypoglossal nerve transfer,,,,,,
12,9495461,Pub-med,The gracilis free flap revisited: a review of 25 cases of transfer to traumatic extremity wounds,"Trauma to the extremities often results in a complex bony and soft-tissue injury requiring free flap reconstruction. Muscles from various body sites have been used in extremity reconstruction since the early 1970s. The gracilis muscle is usually not considered the first choice for free flap reconstruction of these defects. It is usually relegated to small defects or used to reanimate the face. Our purpose is to present our experience with the gracilis muscle as a first-choice flap in reconstruction of traumatic extremity defects. A retrospective review of all gracilis muscle free flap transfers for traumatic extremity wounds between 1988 and 1995 at the Naval Medical Center Portsmouth was performed. Twenty-five patients age 20 to 71 years (mean, 29.7 years) underwent 26 free flaps to the lower leg, ankle, foot, or forearm to cover traumatic wounds. Defects ranged in size from 3 x 3 cm (9 cm2) to 13 x 18 cm (234 cm2), with a mean of 75.5 cm2. There were no flap losses and all wounds healed. Nine patients experienced 11 complications, which consisted of minor wound separation (16%), wound infection (12%), partial or complete loss of split-thickness skin graft (8%), thrombosis of graft with successful revascularization (4%), and nonunion of an underlying fracture (4%). Our overall success rate for gracilis free flap reconstruction of traumatic wounds is 100%. The gracilis free muscle flap has become our first option for tissue coverage in traumatized extremities. It leaves minimal functional defect limited to the side of the primary injury and provides a good cosmetic result. It can cover large defects when the epimysium is cut, and allows an epidural block to be performed for sympathectomy effect and pain control in the affected extremity during the immediate postoperative period.",0,,1,2,0.0,0,0,0,0,10.1097/00000637-199802000-00006,Ann Plast Surg. 1998 Feb;40(2):141-4. doi: 10.1097/00000637-199802000-00006.,"Zukowski M, Lord J, Ash K, Shouse B, Getz S, Robb G.",1998,9495461,"gracilis flap to extremities, no info on face",25.0,,,33.0,9.0,63.0,,,,,no nerve transfer,,,,,,
13,9734407,Embase,One-stage transfer of the latissimus dorsi muscle for reanimation of a paralyzed face: A new alternative,"The two-stage method combining neurovascular free-muscle transfer with cross-face nerve grafting is now a widely accepted procedure for dynamic smile reconstruction in cases with long established unilateral facial paralysis. Although the results are promising, the two operations, about 1 year apart, exert an economic burden on the patients and require a lengthy period before obtaining results. Sequelae such as hypoesthesia, paresthesia, and conspicuous scar on the donor leg for harvesting a sural nerve graft also cannot be disregarded. To overcome such drawbacks of the two-stage method, we report a refined technique utilizing one-stage microvascular free transfer of the latissimus dorsi muscle. Its thoracodorsal nerve is crossed through the upper lip and sutured to the contralateral intact facial nerve branches. Reinnervation of the transferred muscle is established at a mean of 7 months postoperatively, which is faster than that of the two-stage method. In our present series with 24 patients, 21 patients (more than 87 percent) believed that their results were excellent or satisfactory, which also compares well with the results of the two-stage method combining free-muscle transfer with cross-face nerve graft.",1,,2,3,9.0,9,2,1,0,10.1097/00006534-199809040-00001,Plastic and Reconstructive Surgery (1998) 102:4 (941-951). Date of Publication: 1998,"Harii K., Asato H., Yoshimura K., Sugawara Y., Nakatsuka T., Ueda K.",1998,9734407,,24.0,7.0,,29.7,20.0,71.0,,,"Multiple nerve grafts:cross-face,Sural nerve graft",,Cross-facial nerve transfer,,,"['Alt flap', 'Latissimus dorsi flap']",Alt,Latissimus dorsi flap,
14,10089800,Pub-med,Facial reanimation after temporal bone fracture,"Fracture of the temporal bone is usually associated with skull injury and the patient is initially seen in the emergency room. As a result the diagnosis of facial paralysis may be delayed. The aim of this study is to emphasize the importance of early diagnosis and treatment of facial paralysis in such cases. Between 1990 and 1996, sixteen patients with facial paralysis due to temporal bone fracture were operated on within one month of trauma. The surgical technique was selected on the basis of the location of fallopian canal involvement and the patients hearing status. Six patients had grade VI, 7 had grade V and 3 had grade IV facial weakness preoperatively. Twelve patients had serviceable hearing. 9 of them underwent facial decompression through the transmastoid approach and 3 were operated on via the middle fossa approach. Four patients with unserviceable hearing had the operation through the translabyrinthine route. Postoperatively, 15 out of sixteen patients gained normal facial function while one had grade III facial weakness. Severe grade and sudden onset facial paralysis after temporal bone fracture should be surgically corrected as early as possible. The site of involvement of the facial canal and patient's hearing status should be considered in deciding the type of surgery to be applied.",0,,0,0,0.0,9,8,1,0,,Rev Laryngol Otol Rhinol (Bord). 1998;119(5):313-6.,"Goksu N, Bayazit AY, Beder L, Sirik‚Äö√†√∂‚àö√ºi A.",1998,10089800,"Tools: clinical evaluation, HB score Outcomes: facial function, hearing status",16.0,,,,,,,,,,no nerve transfer,,,,,,
15,10517460,Pub-med,Muscle bow traction method for dynamic facial reanimation,"A muscle bow traction method was developed for dynamic facial reanimation utilizing the masseter muscle and a fascial sling. The principle of this method is that the sling around the muscle pulls the oral commissure laterally and backward by the restoring force of the muscle from its relaxed position to its contracted position. The surgical procedure is simple. The sling is passed around the anterior half of the muscle so that the muscle can be bowed anteriorly at its center by the sling. One end of the sling is sutured to the center of the orbicularis oris and the dermis in front of the nasolabial fold, and the other end is sutured to the lower lip and oral commissure. This method was applied to 3 patients with facial palsy and to 1 patient with oral cancer. The restored motion of the oral commissure ranged from 5 to 8 mm when clenching the jaws. The concept of this method differs from those of other muscle transposition methods for facial reanimation in that the force acts at a right angle to the muscle contraction. The advantage of this method is that it is less invasive to the muscle and is a simpler procedure than other conventional muscle transposition methods.",0,,0,3,3.0,3,4,1,0,10.1097/00000637-199910000-00002,Ann Plast Surg. 1999 Oct;43(4):354-8. doi: 10.1097/00000637-199910000-00002.,"Maegawa J, Saijo M, Murasawa S.",1999,10517460,,3.0,,36.0,,,,,,,,no nerve transfer,,,,,,
16,10884169,Embase,Facial reanimation with jump interpositional graft hypoglossal facial anastomosis and hypoglossal facial anastomosis: Evolution in management of facial paralysis,"When viable proximal facial nerve is inaccessible, facial nerve paralysis has been classically managed with the hypoglossal facial anastomosis (HFA) for at least the past 70 years. While this procedure has proven its reliability, its problems with hemilingual atrophy (speech deglutition, drooling, mastication), hypertonia, synkinesis, and mimetic deficits indicate the need for a more perfect solution for facial paralysis. The jump interpositional graft hypoglossal facial anastomosis (JIGHFA) along with gold weight lid implantation and electromyographic (EMG) rehabilitation achieves substantial facial reanimation without hemilingual deficits. We present our results in 18 patients who underwent JIGHFA along with gold weight lid implantation and EMG rehabilitation for facial paralysis. These results were compared with those from published series of 30 patients treated with HFA with EMG rehabilitation evaluated with objective (House-Brackmann) criteria. Anonymous retrospective information from questionnaires from 22 of 48 patients who were treated with the classic HFA was also presented. In properly selected patients, the JIGHFA technique is capable of achieving substantial facial reinnervation (House-Brackmann grade III or better) in 83.3% of the patients without hemilingual sequelae which was seen in 45% of the HFA patients. In contrast to the HFA, this procedure can be used by patients with concomitant lower cranial nerve paralysis (except hypoglossal), and bilateral facial paralysis. Hypertonia, synkinesis, and lagophthalmus were less symptomatic in the JIGHFA patients. Mimetic expression was not improved in the JIGHFA population compared with the HFA group.",3,,0,0,9.0,9,2,1,0,10.1097/00005537-199902001-00001,Laryngoscope (1999) 109:2 II (1-23). Date of Publication: 1999,Hammerschlag P.E.,1999,10884169,,30.0,9.0,,,,,,,Multiple nerve grafts:hypoglossal,,Hypoglossal nerve transfer,,,,,,
17,10944053,Pub-med,Hypoglossal-facial nerve anastomosis: assessment of clinical results and patient benefit for facial nerve palsy following acoustic neuroma excision,"Despite advances in neuro-otological techniques permanent complete facial palsy may still occur in up to 10% of patients undergoing removal of cerebellopontine angle tumours. Hypoglossal-facial nerve anastomosis is the procedure of choice in our unit for facial reanimation in such patients and below we report the results of hypoglossal-facial nerve anastomosis performed on 29 patients. Assessment of patient benefit from hypoglossal-facial nerve anastomosis was obtained using a questionnaire based on the Glasgow Benefit Inventory. The results showed all patients to have an improvement in their House Brackmann grade following hypoglossal-facial anastomosis with 65% achieving grade III or better. Of the 20 patients who completed the questionnaire, 18 showed a positive benefit (median score 59.5, range 40-77). There was a significant correlation (P < 0.045) between the Glasgow benefit inventory score and House Brackmann grade. Outcome was not affected by the time interval between the acoustic neuroma surgery and performing the hypoglossal-facial nerve anastomosis, sex or length of follow-up. However the Glasgow benefit score was significantly influenced by age (P = 0.023) with younger patients showing more benefit independent of improvement in facial nerve function.",3,,0,0,9.0,9,2,1,0,10.1046/j.1365-2273.2000.00348.x,Clin Otolaryngol Allied Sci. 2000 Jun;25(3):219-26. doi: 10.1046/j.1365-2273.2000.00348.x.,"Sood S, Anthony R, Homer JJ, Van Hille P, Fenwick JD.",2000,10944053,"neg: food spillage, speech worsened, embarrassed to eat in public, trouble clearing buccal debris",29.0,6.0,12.0,,,,,,Multiple nerve grafts:hypoglossal,,Hypoglossal nerve transfer,,,,,,
18,11030393,Pub-med,Revascularized muscle transfer for facial reanimation after long-standing facial paralysis,"The aim of the present study was to evaluate the results of a group of patients who had received free vascularized muscle transfer to the face for the treatment of long-standing facial paralysis. In 15 patients, neurovascular transfer of 16 segments of the gracilis muscle to the cheek was performed for reanimation of oral commissure movement. Voluntary muscle activation was evaluated by electromyography (EMG) and clinical function was assessed both metrically from frontal photographs and by a rating system with 6 categories. Patient satisfaction was explored through a self-administered questionnaire of general health (SF-36 health survey). The average follow-up period was 49.3 months. All patients showed voluntary activation of the grafted muscles in the EMG. Symmetry of the static and dynamic position of the oral commissure at rest and under function was considerably improved. In general, however, there was a tendency for undercorrection particularly in a vertical direction. Under function, the excursion of the oral commissure on the grafted side reached 63.7% and 65.5% of the nonparetic side in vertical and horizontal directions, respectively. Subjective rating of patient well-being showed that the scores were higher than or comparable to those of healthy adults in six of eight areas of evaluation.",0,,1,1,0.0,9,8,3,0,,Int J Oral Maxillofac Surg. 2000 Aug;29(4):243-9.,"Schliephake H, Schmelzeisen R, Tr‚Äö√†√∂‚Äö√†√áger M.",2000,11030393,"Tools:EMG, clinical evaluation, Self administered questionnaire for general health (DF-36)Outcomes:patient satisfaction, excursion of the oral commissure,",15.0,0.75,1.0,31.2,6.0,59.0,,,,,no nerve transfer,,,,,,
19,11271435,Embase,Results and complications of facial reanimation following cerebellopontine angle surgery,"The present study was undertaken to evaluate the results of a group of patients following treatment for cerebellopontine angle lesions who developed postoperative facial palsy and underwent facial nerve repair in order to reanimate the muscles of facial expression. A retrospective study was performed on 23 patients treated between 1988 and 1997 at the 2nd and 4th ENT chairs of University ""La Sapienza"" of Rome for facial palsy following cerebellopontine angle surgery. Tumors included acoustic neuromas (n = 3). Seventeen patients underwent hypoglossal-facial anastomoses [10 with end-to-end anastomoses, 4 with May's interposition ""jump-nerve"" grafts and 3 with partial (30%) use of the hypoglossal nerve plus a facial cross-over]. The remaining patients were operated on using a cable graft with the sural nerve (n = 2) and the great auricular nerve (n = 4). Postoperative facial function was determined by the House-Brackmann 6-scale classification. The hypoglossal-facial anastomoses resulted in long-term grade III or IV findings. Cable grafts improved facial function from grade VI to grade III. None of the patients operated on with the modfied VII-XII anastomosis developed swallowing disturbances. The ten patients having traditional hypoglossal-facial anastomoses showed different degrees of tongue disability and retention of residue in the oral cavity. Surgical recovery of postoperative facial palsy can be obtained with various techniques according to the availability of the proximal facial nerve stump at the brain stem. Since a traditional hypoglossal-facial anastomosis procedure can be a source of a separate disability for the patient, techniques are preferred that leave the hypoglossal nerve mostly intact and uncompromised.",3,,0,2,9.0,9,2,1,0,10.1007/s004059900211,European Archives of Oto-Rhino-Laryngology (2001) 258:1 (45-48). Date of Publication: 2001,"Magliulo G., D'Amico R., Forino M.",2001,11271435,,23.0,2.5,7.0,43.1,36.0,66.0,,,"Multiple nerve grafts:hypoglossal,Great auricular nerve graft,Sural nerve graft",,Hypoglossal nerve transfer,,,,,,
