pmid,database,title,abstract,nerve_transfer,double_innervation_type,free_flap,other_tissue,negative_outcome,positive_outcome,measuring_tool,tool_category,botox,patients,time_to_reinnervation_(min),time_to_reinnervation_(max),Age,min age,max age,follow up min,follow up max,old_notes,Notes_y,notes,tool 1,tool 2,tool 3,nerve_transfer_type_1,nerve_transfer_type_2,nerve_transfer_type_3,other_free_flap_type_1,free_flap_type_1,free_flap_type_2,free_flap_type_3,,
9734407,Embase,One-stage transfer of the latissimus dorsi muscle for reanimation of a paralyzed face: A new alternative,"The two-stage method combining neurovascular free-muscle transfer with cross-face nerve grafting is now a widely accepted procedure for dynamic smile reconstruction in cases with long established unilateral facial paralysis. Although the results are promising, the two operations, about 1 year apart, exert an economic burden on the patients and require a lengthy period before obtaining results. Sequelae such as hypoesthesia, paresthesia, and conspicuous scar on the donor leg for harvesting a sural nerve graft also cannot be disregarded. To overcome such drawbacks of the two-stage method, we report a refined technique utilizing one-stage microvascular free transfer of the latissimus dorsi muscle. Its thoracodorsal nerve is crossed through the upper lip and sutured to the contralateral intact facial nerve branches. Reinnervation of the transferred muscle is established at a mean of 7 months postoperatively, which is faster than that of the two-stage method. In our present series with 24 patients, 21 patients (more than 87 percent) believed that their results were excellent or satisfactory, which also compares well with the results of the two-stage method combining free-muscle transfer with cross-face nerve graft.",1,,2,3,9,9,2,1,0,24,7,,29.7,20,71,,,"Multiple nerve grafts:cross-face,Sural nerve graft",,,,,,Cross-facial nerve transfer,,,"['Alt flap', 'Latissimus dorsi flap']",Alt,Latissimus dorsi flap,,,
10884169,Embase,Facial reanimation with jump interpositional graft hypoglossal facial anastomosis and hypoglossal facial anastomosis: Evolution in management of facial paralysis,"When viable proximal facial nerve is inaccessible, facial nerve paralysis has been classically managed with the hypoglossal facial anastomosis (HFA) for at least the past 70 years. While this procedure has proven its reliability, its problems with hemilingual atrophy (speech deglutition, drooling, mastication), hypertonia, synkinesis, and mimetic deficits indicate the need for a more perfect solution for facial paralysis. The jump interpositional graft hypoglossal facial anastomosis (JIGHFA) along with gold weight lid implantation and electromyographic (EMG) rehabilitation achieves substantial facial reanimation without hemilingual deficits. We present our results in 18 patients who underwent JIGHFA along with gold weight lid implantation and EMG rehabilitation for facial paralysis. These results were compared with those from published series of 30 patients treated with HFA with EMG rehabilitation evaluated with objective (House-Brackmann) criteria. Anonymous retrospective information from questionnaires from 22 of 48 patients who were treated with the classic HFA was also presented. In properly selected patients, the JIGHFA technique is capable of achieving substantial facial reinnervation (House-Brackmann grade III or better) in 83.3% of the patients without hemilingual sequelae which was seen in 45% of the HFA patients. In contrast to the HFA, this procedure can be used by patients with concomitant lower cranial nerve paralysis (except hypoglossal), and bilateral facial paralysis. Hypertonia, synkinesis, and lagophthalmus were less symptomatic in the JIGHFA patients. Mimetic expression was not improved in the JIGHFA population compared with the HFA group.",3,,0,0,9,9,2,1,0,30,9,,,,,,,Multiple nerve grafts:hypoglossal,,,,,,Hypoglossal nerve transfer,,,,,,,,
10944053,Pub-med,Hypoglossal-facial nerve anastomosis: assessment of clinical results and patient benefit for facial nerve palsy following acoustic neuroma excision,"Despite advances in neuro-otological techniques permanent complete facial palsy may still occur in up to 10% of patients undergoing removal of cerebellopontine angle tumours. Hypoglossal-facial nerve anastomosis is the procedure of choice in our unit for facial reanimation in such patients and below we report the results of hypoglossal-facial nerve anastomosis performed on 29 patients. Assessment of patient benefit from hypoglossal-facial nerve anastomosis was obtained using a questionnaire based on the Glasgow Benefit Inventory. The results showed all patients to have an improvement in their House Brackmann grade following hypoglossal-facial anastomosis with 65% achieving grade III or better. Of the 20 patients who completed the questionnaire, 18 showed a positive benefit (median score 59.5, range 40-77). There was a significant correlation (P < 0.045) between the Glasgow benefit inventory score and House Brackmann grade. Outcome was not affected by the time interval between the acoustic neuroma surgery and performing the hypoglossal-facial nerve anastomosis, sex or length of follow-up. However the Glasgow benefit score was significantly influenced by age (P = 0.023) with younger patients showing more benefit independent of improvement in facial nerve function.",3,,0,0,9,9,2,1,0,29,6,12,,,,,,Multiple nerve grafts:hypoglossal,,"neg: food spillage, speech worsened, embarrassed to eat in public, trouble clearing buccal debris",,,,Hypoglossal nerve transfer,,,,,,,,
11030393,Pub-med,Revascularized muscle transfer for facial reanimation after long-standing facial paralysis,"The aim of the present study was to evaluate the results of a group of patients who had received free vascularized muscle transfer to the face for the treatment of long-standing facial paralysis. In 15 patients, neurovascular transfer of 16 segments of the gracilis muscle to the cheek was performed for reanimation of oral commissure movement. Voluntary muscle activation was evaluated by electromyography (EMG) and clinical function was assessed both metrically from frontal photographs and by a rating system with 6 categories. Patient satisfaction was explored through a self-administered questionnaire of general health (SF-36 health survey). The average follow-up period was 49.3 months. All patients showed voluntary activation of the grafted muscles in the EMG. Symmetry of the static and dynamic position of the oral commissure at rest and under function was considerably improved. In general, however, there was a tendency for undercorrection particularly in a vertical direction. Under function, the excursion of the oral commissure on the grafted side reached 63.7% and 65.5% of the nonparetic side in vertical and horizontal directions, respectively. Subjective rating of patient well-being showed that the scores were higher than or comparable to those of healthy adults in six of eight areas of evaluation.",0,,1,1,0,9,8,3,0,15,0.75,1,31.2,6,59,,,,,"Tools:EMG, clinical evaluation, Self administered questionnaire for general health (DF-36)Outcomes:patient satisfaction, excursion of the oral commissure,",,,,no nerve transfer,,,,,,,,
11271435,Embase,Results and complications of facial reanimation following cerebellopontine angle surgery,"The present study was undertaken to evaluate the results of a group of patients following treatment for cerebellopontine angle lesions who developed postoperative facial palsy and underwent facial nerve repair in order to reanimate the muscles of facial expression. A retrospective study was performed on 23 patients treated between 1988 and 1997 at the 2nd and 4th ENT chairs of University ""La Sapienza"" of Rome for facial palsy following cerebellopontine angle surgery. Tumors included acoustic neuromas (n = 3). Seventeen patients underwent hypoglossal-facial anastomoses [10 with end-to-end anastomoses, 4 with May's interposition ""jump-nerve"" grafts and 3 with partial (30%) use of the hypoglossal nerve plus a facial cross-over]. The remaining patients were operated on using a cable graft with the sural nerve (n = 2) and the great auricular nerve (n = 4). Postoperative facial function was determined by the House-Brackmann 6-scale classification. The hypoglossal-facial anastomoses resulted in long-term grade III or IV findings. Cable grafts improved facial function from grade VI to grade III. None of the patients operated on with the modfied VII-XII anastomosis developed swallowing disturbances. The ten patients having traditional hypoglossal-facial anastomoses showed different degrees of tongue disability and retention of residue in the oral cavity. Surgical recovery of postoperative facial palsy can be obtained with various techniques according to the availability of the proximal facial nerve stump at the brain stem. Since a traditional hypoglossal-facial anastomosis procedure can be a source of a separate disability for the patient, techniques are preferred that leave the hypoglossal nerve mostly intact and uncompromised.",3,,0,2,9,9,2,1,0,23,2.5,7,43.1,36,66,,,"Multiple nerve grafts:hypoglossal,Great auricular nerve graft,Sural nerve graft",,,,,,Hypoglossal nerve transfer,,,,,,,,
11460296,Pub-med,Facial nerve repair: a retrospective review,"The purpose of this article is to review a large series of patients evaluated for disorders of the facial nerve in order to assess the indications for surgery, the timing of surgery, the techniques of nerve repair, and to better define those factors associated with a favorable outcome. Study design: A retrospective review of patients undergoing facial nerve repair from 1963-1997. Methods: One hundred and three patients underwent surgical intervention designed to repair a disrupted facial nerve. All procedures were performed by one of the senior surgeons (M.M.) Seventy-two patients had a complete data set and at least one year of follow-up. Results: Eighty percent of patients attained an outcome considered superb to fair. Twenty percent of patients had a poor outcome. There was a slight worsening of outcome with increased time to repair. Patients with a neoplastic etiology of nerve paralysis tended to have a worse outcome. Conclusions: Facial nerve grafting is most successful if intervention is undertaken at or near the time of initial injury. However, prolonged time (up to two years) to repair does not preclude the potential for some recovery. The limitations of the current systems for grading facial recovery after nerve repair are well known, and the adoption of a new grading scale for assessing recovery after reanimation procedure is recommended.",0,,0,0,,0,0,0,0,72,8.7,4,37.3,6,80,,,"Multiple nerve grafts:nerve graft,nerve grafting",,"Tools: HB score Outcomes: facial movement,",,,,no nerve transfer,,,,,,,,
11587691,Embase,Reanimation of the paralyzed face by indirect hypoglossal-facial nerve anastomosis,"Background: The results of indirect hypoglossal facial nerve anastomosis with interposition of a free nerve graft, end-to-end to the periferal facial nerve stump, and end-to-side to the hypoglossal nerve are prospectively evaluated. This technique is supposed to overcome loss of hypoglossal function. Methods: Tongue function in 39 consecutive patients and facial reanimation in 29 patients who completed 24 months follow-up were assessed. Facial nerve function was judged using the House-Brackmann (HB) grading system. Results: Tongue movements were normal in all operated on patients. Initial facial movements occurred on average 7.5 months postoperatively. The results were graded HB II in 6 (20.9%), HB III in 13 (44.6%), HB IV in 7 (24.1%), HB V in 2 (6.8%) patients, and HB VI in 1 (3.4%) patient. The results were significantly better in young patients and when a short time interval between paralysis and surgery existed. Conclusions: Indirect hypoglossal-facial anastomosis is the preferred technique in most patients for whom the classical direct hypoglossofacial anastomosis is indicated. ¬¨¬© 2001 Excerpta Medica, Inc. All rights reserved.",3,,0,0,9,9,2,1,0,29,7.5,,47.4,11,71,,,Multiple nerve grafts:hypoglossal,,"neg: asymmetry and not regaining movement, synkinesis
pos: symmetry and movement",,,,Hypoglossal nerve transfer,,,,,,,,
11818819,Pub-med,Cross-face nerve graft with free-muscle transfer for reanimation of the paralyzed face: a comparative study of the single-stage and two-stage procedures,"The most accepted method for reanimation of the paralyzed face is the two-stage method that combines cross-face nerve graft with free-muscle transfer. Although the results of reconstruction with this method are satisfactory, there is an excessive delay between stages, which prolongs the period of rehabilitation. In 1995, Kumar overcame this and presented his preliminary results from a single-stage transfer of the gracilis. We compared the long-term results of the single-stage with the two-stage method of reconstruction. Patients selected the method of reconstruction on the basis of the information, photographs of scars, and video recording of results given to them at a special facial palsy clinic. Ten patients selected the single-stage reconstruction and 15 selected the two-stage reconstruction. The mean follow-up period was 3 years. The results of the two methods are comparable, with 90 percent of the patients who underwent the single-stage and 93 percent of those who underwent the two-stage procedures having good and fair results. However, the two-stage method scored good symmetry at rest in 67 percent, compared with 20 percent for the single-stage method. There were fewer complications with the single-stage method, and none of the patients had any problems relating to the donor site. The period of rehabilitation was reduced by 10 months with the single-stage method.",1,,1,3,9,9,8,1,0,15,4,8,39..9,7,60,,,,,"Tools: modified O'Brien point system,questionnaire Outcome:symmetry, donor-site problems, numbness, widening of scar, osteoarthritis, persistent swelling, patient satisfaction",,,,Cross-facial nerve transfer,,,,,,,,
15513597,Pub-med,Facial reanimation by transplantation of a microneurovascular muscle: long-term follow-up,"The two-stage operation for reanimation of long-standing facial paralysis by cross-facial nerve grafting and later free microneurovascular muscle transfer has been the treatment of choice for nearly 25 years. However, the functional outcome may be unpredictable. We therefore need to know more about the factors that influence the final result. We have recorded the long-term results of microneurovascular surgery in facial paralysis, and evaluated which factors influenced the functional outcome. Twenty-seven of 40 patients aged 7 to 65 years (mean 40) operated on at Helsinki University Hospital between 1986 and 2000 were available for interview and video recording. The gracilis, latissimus dorsi, and serratus anterior muscles were used for microneurovascular transfer in 11, 10, and 6 cases, respectively. The outcome of microneurovascular muscle transfer was graded on House's scale 1 to 6. The mean follow-up period was 8.5 years (range 2 to 15). Sixteen patients (59%) displayed only mild or moderate dysfunction (grades 2 to 3) after reconstruction. In 8 patients (30%) dysfunction was graded as moderately severe, and in 3 (11%) as severe. There was a correlation between final functional outcome and the follow-up time after microneurovascular facial reanimation. The longer the follow-up time after muscle transplantation the poorer the functional result (p = 0.003). Twenty-one patients (78%) considered that their quality of life was better or much better after facial reanimation. Patients' satisfaction correlated with a good functional result.",0,,1,1,0,9,2,1,0,27,6,8,41,7,65,,,",Other free flap type:serratus anterior muscle,","gracilis, latissimus dorsi, and serratus anterior","Tools:HB score Outcomes:facial movement, perception of quality of life, gracilis, latissimus dorsi, and serratus anterior",,,,no nerve transfer,,,,,,,,
16641724,Embase,One-stage reanimation of the paralyzed face using the rectus abdominis neurovascular free flap,"BACKGROUND: Functional free muscle transfer for the surgical correction of long-standing facial paralysis has gained validity over the past three decades. These traditionally multistep reconstructions often achieve clinical success, but at the cost of significant morbidity and lengthy recovery periods. To address this dilemma, the authors propose reconstruction using the rectus abdominis and accompanying intercostal nerve in a one-stage neurovascular free flap reanimation procedure. METHODS: Between 1998 and 2001, five patients with long-standing unilateral facial paralysis at the University of Pittsburgh Facial Nerve Center underwent reanimation using the authors' protocol. Preoperative and postoperative assessments included clinical evaluation using the Facial Grading System and electromyography. The patients were followed for a mean of 16 months. RESULTS: At the final postoperative visit, all five patients demonstrated improved levator electromyographic potential, with a median 67 percent improvement. All five patients further demonstrated an increase in zygomaticus electromyographic potential, with a median 225 percent improvement. All five patients demonstrated increased Facial Grading System score at most recent follow-up. CONCLUSIONS: The one-step reanimation using free rectus abdominis neurovascular free flap demonstrated a consistent positive outcome in electromyographic and clinical assessments. The additional benefits of reduced recovery time and anatomical reliability of the flap render the authors' method preferable to other traditional methods of surgical reanimation of the paralyzed face. Copyright ¬¨¬©2006 by the American Society of Plastic Surgeons.",0,,2,0,0,9,8,3,0,5,4,8,,10.99,64,16,,,,"smile, facial movement, preop/postop 
facial grading system and EMG",,,,no nerve transfer,,,['Rectus abdominis flap'],Rectus abdominis flap,,,,
16749192,Embase,One-stage reconstruction of facial paralysis associated with skin/soft tissue defects using latissimus dorsi compound flap,"Neurovascular free muscle transfer is now the mainstay for smile reconstruction in the treatment of established facial paralysis. Since facial paralysis due to ablative surgery or some specific disease sometimes accompanies defects of the facial skin and soft tissue, simultaneous reconstruction of defective tissues with facial reanimation is required. The present paper reports results for 16 patients who underwent reconstruction by simultaneous soft tissue flap transfer with latissimus dorsi muscle for smile reconstruction of the paralysed face. Soft tissue flaps comprised skin paddle overlying the latissimus dorsi muscle (n=6), serratus anterior musculocutaneous flap (n=5), serratus anterior muscle flap (n=2), and latissimus dorsi perforator-based flap with a small muscle cuff (n=3). The latissimus dorsi muscle can be elevated as a compound flap of various types, and thus offers the best option as a donor muscle for facial reanimation when soft tissue defects require simultaneous reconstruction. ¬¨¬© 2005 The British Association of Plastic Surgeons.",0,,2,1,0,9,4,1,0,16,7,,41,13,71,7,24,",Other free flap type:serratus anterior muscle,","atissimus dorsi muscle (n=6), serratus anterior musculocutaneous flap (n=5), serratus anterior muscle flap (n=2),",,,,,no nerve transfer,,,"['Serratus anterior muscle flap', 'Latissimus dorsi flap']",Serratus anterior,Latissimus dorsi flap,,,
17077874,Pub-med,Direct Facial-to-Hypoglossal Neurorrhaphy with Parotid Release,"Objective: Facial nerve paralysis or compromise can be caused by lesions of the temporal bone and cerebellopontine angle and their treatment. When the facial nerve is transected or severely compromised and primary end-to-end repair is not possible, hypoglossal-facial nerve anastomosis remains the most popular method for accomplishing three main goals: restoring facial tone, restoring facial symmetry, and facilitating return of voluntary facial movement. Our objectives are to evaluate the surgical feasibility and long-term outcomes of our technique of direct facial-to-hypoglossal neurorrhaphy with a parotid-release maneuver. Design: Prospective cohort. Setting: Academic tertiary care referral center. Patients: Ten patients with facial paralysis from proximal nerve injury underwent the facial-hypoglossal neurorrhaphy with a parotid-release maneuver. Main outcome measures: The Repaired Facial Nerve Recovery Scale, questionnaires, and photographs. Results: Facial-hypoglossal neurorrhaphy with parotid release was technically feasible in all cases, and anastomosis was performed distal to the origin of the ansa hypoglossi. All patients had good return of facial nerve function. Nine patients had scores of C or better, indicating strong eyelid and oral sphincter closure and mass motion. There was no hemilingual atrophy and no subjective tongue dysfunction. Conclusions: The parotid-release maneuver mobilizes additional length to the facial nerve, facilitating a tensionless communication distal to the ansa hypoglossi. The technique is a viable option for facial reanimation, and our patients achieved good clinical outcomes with continual improvement.",3,,0,0,2,1,9,1,0,10,8,,,13,58,11,48,Multiple nerve grafts:hypoglossal,,"The Repaired Facial Nerve Recovery Scale, questionnaire,facial stiffness and eye dryness",,,,Hypoglossal nerve transfer,,,,,,,,
18188778,Embase,"Facial reanimation by transposition of the masseter muscle combined with tensor fascia lata, using the zygomatic arch as a pulley","We have created a new way of reanimating the face, involving transposition of the masseter muscle combined with tensor fascia lata, and using the zygomatic arch as a trochlea to reconstruct the inferior facial paralysis. We used it on five patients who had facial palsy after excision of malignant parotid tumours. The wide skin defect that exposed the masseter muscle after total parotidectomy was reconstructed with a free flap. This method differs from those of other methods of transposing the masseter muscle in that force is applied at an upper lateral angle. Our method provided dynamic raising of the upper lip, the corner of the mouth, and the nasolabial fold in four patients. We consider it to be useful, particularly for prompt surgical reconstruction of facial palsy after total parotidectomy with a wide defect in the skin of the cheek.",0,,0,1,3,9,4,1,0,5,10,,65,59,72,10.29,21,",Other free flap type:fascia lata,",,smile and commisure excursion,,,,no nerve transfer,,,,,,,,
