database,title,abstract,nerve_transfer,double_innervation_type,free_flap,other_tissue,negative_outcome,positive_outcome,measuring_tool,tool_category,botox,doi,citation,authours,year,pmid,notes,patients,time_to_reinnervation_(min),time_to_reinnervation_(max),old_notes,Notes_y,nerve_transfer_type_1,nerve_transfer_type_2,nerve_transfer_type_3,other_free_flap_type_1,free_flap_type_1,free_flap_type_2,free_flap_type_3
Embase,Paralysis of the marginal mandibular branch of the facial nerve: Treatment options,"Isolated paralysis of the marginal mandibular branch of the facial nerve results in an asymmetrical smile with elevation of the lower lip on the affected side. We discuss the surgical options for its correction and present a series of 26 patients who underwent either botulinum toxin injection, anterior belly of digastric transfer or free extensor digitorum brevis transfer as treatment. Botulinum toxin injection provided satisfactory results although these were temporary. Anterior belly of digastric transfer was the surgical procedure of choice. It yielded superior cosmetic results, less donor-site morbidity and required a shorter operating time. In more complex congenital facial hypoplastic syndromes, or following extensive surgery in the digastric triangle, the anterior belly of the digastric muscle may be absent or damaged. Extensor digitorum brevis transfer is the preferred option in these cases. (C) 2000 The British Association of Plastic Surgeons.",0,,2,1,5,9,2,1,1,10.1054/bjps.2000.3318,British Journal of Plastic Surgery (2000) 53:5 (378-385). Date of Publication: July 2000,"Tulley P., Webb A., Chana J.S., Tan S.T., Hudson D., Grobbelaar A.O., Harrison D.H.",2000,10876273,,26,,,,,no nerve transfer,,,"['Alt flap', ' extensor digitorum brevis flap', 'Extensor digitorum flap']",Alt , extensor digitorum brevis flap,Extensor digitorum flap
Pub-med,Facial nerve repair: a retrospective review,"The purpose of this article is to review a large series of patients evaluated for disorders of the facial nerve in order to assess the indications for surgery, the timing of surgery, the techniques of nerve repair, and to better define those factors associated with a favorable outcome. Study design: A retrospective review of patients undergoing facial nerve repair from 1963-1997. Methods: One hundred and three patients underwent surgical intervention designed to repair a disrupted facial nerve. All procedures were performed by one of the senior surgeons (M.M.) Seventy-two patients had a complete data set and at least one year of follow-up. Results: Eighty percent of patients attained an outcome considered superb to fair. Twenty percent of patients had a poor outcome. There was a slight worsening of outcome with increased time to repair. Patients with a neoplastic etiology of nerve paralysis tended to have a worse outcome. Conclusions: Facial nerve grafting is most successful if intervention is undertaken at or near the time of initial injury. However, prolonged time (up to two years) to repair does not preclude the potential for some recovery. The limitations of the current systems for grading facial recovery after nerve repair are well known, and the adoption of a new grading scale for assessing recovery after reanimation procedure is recommended.",0,,0,0,,0,0,0,0,10.1055/s-2000-15545,Facial Plast Surg. 2000;16(4):309-13. doi: 10.1055/s-2000-15545.,"Bascom DA, Schaitkin BM, May M, Klein S.",2000,11460296,"Tools: HB score Outcomes: facial movement,",72,,,"Multiple nerve grafts:nerve graft,nerve grafting",,no nerve transfer,,,,,,
Pub-med,Hypoglossal-facial nerve anastomosis: assessment of clinical results and patient benefit for facial nerve palsy following acoustic neuroma excision,"Despite advances in neuro-otological techniques permanent complete facial palsy may still occur in up to 10% of patients undergoing removal of cerebellopontine angle tumours. Hypoglossal-facial nerve anastomosis is the procedure of choice in our unit for facial reanimation in such patients and below we report the results of hypoglossal-facial nerve anastomosis performed on 29 patients. Assessment of patient benefit from hypoglossal-facial nerve anastomosis was obtained using a questionnaire based on the Glasgow Benefit Inventory. The results showed all patients to have an improvement in their House Brackmann grade following hypoglossal-facial anastomosis with 65% achieving grade III or better. Of the 20 patients who completed the questionnaire, 18 showed a positive benefit (median score 59.5, range 40-77). There was a significant correlation (P < 0.045) between the Glasgow benefit inventory score and House Brackmann grade. Outcome was not affected by the time interval between the acoustic neuroma surgery and performing the hypoglossal-facial nerve anastomosis, sex or length of follow-up. However the Glasgow benefit score was significantly influenced by age (P = 0.023) with younger patients showing more benefit independent of improvement in facial nerve function.",3,,0,0,9,9,2,1,0,10.1046/j.1365-2273.2000.00348.x,Clin Otolaryngol Allied Sci. 2000 Jun;25(3):219-26. doi: 10.1046/j.1365-2273.2000.00348.x.,"Sood S, Anthony R, Homer JJ, Van Hille P, Fenwick JD.",2000,10944053,"neg: food spillage, speech worsened, embarrassed to eat in public, trouble clearing buccal debris",29,,,Multiple nerve grafts:hypoglossal,,Hypoglossal nerve transfer,,,,,,
Pub-med,Temporalis muscle transfer for facial paralysis: a further refinement,"Facial nerve paralysis can occur due to failure of the central driving mechanism (nuclear or supranuclear pathology), failure of the conduit between the brainstem and the peripheral musculature (the facial nerve), or failure of the peripheral end organ (the neuromuscular system). Where the peripheral neuromuscular system fails, the options for dynamic reanimation include a regional muscle transfer driven by another ipsilateral cranial nerve, or a free muscle transfer driven by the contralateral facial nerve. Temporalis muscle transfer is an example of regional muscle transfer and has been used since early in the twentieth century. A further refinement, involving mobilization of the coronoid process of the mandible in continuity with the insertion of the temporalis muscle via a nasolabial fold approach, using fascial strips to re-create movement around the mouth, is presented.",0,,2,1,9,9,2,1,0,10.1055/s-2000-15544,Facial Plast Surg. 2000;16(4):351-6. doi: 10.1055/s-2000-15544.,"Croxson GR, Quinn MJ, Coulson SE.",2000,11460301,,22,,,,,no nerve transfer,,,['Fascia flap'],Fascia lata ,,
Pub-med,Facial palsy and achondroplasia: a rare association,The association of facial palsy and achondroplasia is rare. The authors present two cases of such association. To their knowledge this has never been described before in the medical literature. Both patients underwent a two-stage facial reanimation procedure using nerve grafting and a free gracilis muscle transfer with very satisfactory functional and cosmetic results.,0,,0,0,0,9,4,1,0,10.1097/00000637-200108000-00018,Ann Plast Surg. 2001 Aug;47(2):203-5. doi: 10.1097/00000637-200108000-00018.,"Cerqueiro-Mosquera J, Penrose-Stevens A, Fatah MF.",2001,11506333,"Tools:Clinical evaluation Outcomes: appearance, smile,symmetry",2,,,"Multiple nerve grafts:nerve graft,nerve grafting",,no nerve transfer,,,,,,
Pub-med,Functional reconstruction of the lateral face after ablative tumor resection: use of free muscle and musculocutaneous flaps,"Background: Wide resection of tumors of the middle third of the face often results in complex three-dimensional defects and facial paralysis either due to removal of the facial nerve within the tumoral tissue or to extensive resection of the facial muscles. Methods: We report the cases of three patients who underwent wide excision of tumors of the cheek region, operations that resulted in tissue defects and facial palsy. Defect reconstruction and facial reanimation was accomplished in one stage through functional muscle transplantation. Results: Follow-up of more than 1 year showed good symmetry at rest and reanimation of the corner of the mouth in all cases, but one patient, in which the ipsilateral facial main trunk was used as motor nerve supply to the transplanted muscle, developed significant muscle contracture and binding of the cheek skin. Conclusions: Every effort should be made to optimize the functional and cosmetic outcomes of neurovascular muscle transfers through precise planning and careful execution of the intricate details of the surgical technique for muscle transplantation.",0,,0,0,9,9,4,1,0,10.1002/hed.1122,Head Neck. 2001 Oct;23(10):836-43. doi: 10.1002/hed.1122.,"Maral T, Ozcan G.",2001,11592230,binding of the cheeek skin,3,,,,,no nerve transfer,,,,,,
Pub-med,Long-term outcome of gold eyelid weights in patients with facial nerve palsy,"Objective: To assess the safety and efficacy of upper eyelid gold weight implants in managing paralytic lagophthalmos and to compare two surgical techniques for their insertion. Study design: Retrospective case series. Setting: Tertiary referral center. Patients: One hundred four patients had a gold weight implanted for paralytic lagophthalmos between 1982 and 1996 at the Royal Prince Alfred Hospital in Sydney. Each patient had more than 2 years of follow-up of lid load function. Main outcome measures: The effectiveness of gold weights in reanimating eyelid closure, mean duration of gold weight retention, reasons for removal, and complications resulting from a gold weight; these outcomes were also compared using two surgical techniques for gold weight insertion. Results: One hundred three patients maintained corneal integrity. At the time of assessment, 46 patients had had their lid loads removed from their eyelids, and 58 lid loads remained in situ. Of the lid loads that were removed, 78% were because the facial nerve had recovered. The remaining 22% were removed because of cosmetic dissatisfaction (7 patients), the lid load becoming too superficial (6 patients), migration (3 patients), partial extrusion (1 patient), and ptosis resulting from too heavy a weight (1 patient). Conclusion: Gold weights are well tolerated and effective in managing paralytic lagophthalmos. An open surgical technique with direct suture fixation of the gold weight to the tarsal plate produced fewer complications than inserting the lid load into a prefashioned tissue pocket in the preseptal space through a small lateral skin incision.",0,,0,0,9,5,4,1,0,10.1097/00129492-200105000-00022,Otol Neurotol. 2001 May;22(3):397-400. doi: 10.1097/00129492-200105000-00022.,"Harrisberg BP, Singh RP, Croxson GR, Taylor RF, McCluskey PJ.",2001,11347647,"Positive Outcomes: corneal integrity and ocular comfort Negative Outcomes: cosmetic dissatisfaction, lid load becoming too superficial, migration, partial extrusion, ptosis reulting from too heavy wight",104,,,,,no nerve transfer,,,,,,
Pub-med,Temporal galeal fascia cover of custom-made gold lid weights for correction of paralytic lagophthalmos: long-term evaluation of an improved technique,"Background: Chronic paralytic lagophthalmos is a condition that is often conservatively treated with ophthalmic ointments and eye drops, but usually requires definitive surgical correction. Purpose: An effective modification of the gold lid loading technique is described, which we have found to be the simplest and most reliable method for lid reanimation. Material: After empiric evaluations with lead fisherman's weights 'glued' to the eyelid, a custom-made gold lid weight is made by a jeweller on the basis of the tarsal dimensions of the individual patient, and then sutured to the tarsus under local anaesthesia and covered with a fine sheet of temporal galea. Other ancillary procedures (lower lid suspension, lateral tarsal strip, lateral tarsoplasty) are added as required. Methods: Between 1990 and 1996, 27 patients underwent this type of surgery, of whom 24 were re-evaluated after a mean follow-up period of 73.2 months (range 36-96 months), 14 of these for a minimum of 5 years. Results: None of the gold weights was extruded, all 24 patients experienced marked improvement of their dry-eye symptoms and expressed a high degree of satisfaction. Six patients underwent further minor surgery (lateral McLaughlin tarsorrhaphy) in order to improve relative underaction. Two patients had ptosis (less than 2 mm of asymmetry) of the affected side but refused further correction. Conclusion: The use of custom-made gold lid weights and a protective galeal layer is a simple, reliable and successful means for permanently rehabilitating paralysed eyelids.",0,,0,0,0,9,4,1,0,10.1054/jcms.2001.0250,J Craniomaxillofac Surg. 2001 Dec;29(6):355-9. doi: 10.1054/jcms.2001.0250.,"Tremolada C, Raffaini M, D'Orto O, Gianni AB, Biglioli F, Carota F.",2001,11777354,"PO: hight sattisfaction, improvement in dry eye symptoms",24,,,,,no nerve transfer,,,,,,
Embase,Neurovascular musculus obliquus internus abdominis flap free transfer for facial reanimation in a single stage,"A study of the anatomy and transplantation of the musculus obliquus internus abdominis with a neurovascular pedicle transfer for facial reanimation in one stage is presented. Eleven adult cadavers (22 face sides) were dissected to observe the shape, thickness, innervation, and blood supply, of the musculus obliquus internus abdominis. The blood supply of this muscle primarily comes from the musculus obliquus internus abdominis branch of the deep circumflex iliac artery (diameter, 1.3 ¬± 0.2 mm), but it can also come from the eleventh intercostal artery (diameter, 1.14 ¬± 0.3 mm) and the infracostal artery (diameter, 1.5 ¬± 0.2 mm). The branch of the deep circumflex iliac artery and its vena comitans, or the infracostal artery and its vena comitans, could be anastomosed for muscle transplantation. The innervation of the musculus obliquus internus abdominis comes from the tenth and eleventh intercostal nerves (length, 12.7 ¬± 1.5 cm) and the infracostal nerve (length, 12.9 ¬± 1.3 cm). The eleventh intercostal nerve and the infracostal nerve were selected for anastomosis of muscle transplantation. From November of 1995 to November of 1999, 14 patients with long established facial paralysis were treated with transplantation of a musculus obliquus internus abdominis flap in one stage and were followed for 10 months to 6 years. In 13 patients, the dynamic functions of the transplanted muscles were restored, the obliqueness of the mouth and philtrum while static was corrected, and the facial muscle activities while smiling were harmonized. The eyelids of the paralyzed side could be closed postoperatively, indicating that the function of the orbicularis oculi of the paralyzed side was restored. The single-stage transplantation of a free musculus obliquus internus abdominis flap with one vascular, multi-nerve pedicle is a new method for facial reanimation in the treatment of long established facial paralysis. Because of the simplicity of the procedure and the completeness of the functional reanimation of the paralyzed facial muscles, compared with the results of other free muscle flap transfers, it is an ideal procedure for facial reanimation.",0,,2,0,9,9,4,1,0,10.1097/00006534-200211000-00007,Plastic and Reconstructive Surgery (2002) 110:6 (1430-1440). Date of Publication: November 2002,"Wang W., Qi Z., Lin X., Hu Q., Dong J., Zhou L., Dai C.",2002,12409760,,14,,,,,no nerve transfer,,,musculus obliquus internus abdominis,,,
Pub-med,Cross-face nerve graft with free-muscle transfer for reanimation of the paralyzed face: a comparative study of the single-stage and two-stage procedures,"The most accepted method for reanimation of the paralyzed face is the two-stage method that combines cross-face nerve graft with free-muscle transfer. Although the results of reconstruction with this method are satisfactory, there is an excessive delay between stages, which prolongs the period of rehabilitation. In 1995, Kumar overcame this and presented his preliminary results from a single-stage transfer of the gracilis. We compared the long-term results of the single-stage with the two-stage method of reconstruction. Patients selected the method of reconstruction on the basis of the information, photographs of scars, and video recording of results given to them at a special facial palsy clinic. Ten patients selected the single-stage reconstruction and 15 selected the two-stage reconstruction. The mean follow-up period was 3 years. The results of the two methods are comparable, with 90 percent of the patients who underwent the single-stage and 93 percent of those who underwent the two-stage procedures having good and fair results. However, the two-stage method scored good symmetry at rest in 67 percent, compared with 20 percent for the single-stage method. There were fewer complications with the single-stage method, and none of the patients had any problems relating to the donor site. The period of rehabilitation was reduced by 10 months with the single-stage method.",1,,1,3,9,9,8,1,0,10.1097/00006534-200202000-00006,Plast Reconstr Surg. 2002 Feb;109(2):451-62; discussion 463-4. doi: 10.1097/00006534-200202000-00006.,"Kumar PA, Hassan KM.",2002,11818819,"Tools: modified O'Brien point system,questionnaire   Outcome:symmetry, donor-site problems, numbness, widening of scar, osteoarthritis, persistent swelling, patient satisfaction",15,,,,,Cross-facial nerve transfer,,,,,,
Pub-med,Anterior belly of digastric muscle transfer: a useful technique in head and neck surgery,"Background: Permanent loss of the marginal mandibular branch of the facial nerve (MMBFN) may result from an inadvertent injury or an intentional sacrifice during tumor resection. This may occur in isolation or as a part of total facial nerve palsy. The loss of the MMBFN results in paralysis of the depressors of the ipsilateral lower lip with troublesome cosmetic and functional deficits. Method: A series of 14 patients with permanent loss of the MMBFN during resection of head and neck tumors were treated with the anterior belly of digastric muscle transfer (ABDMT). The loss of the MMBFN occurred in isolation in five patients and formed a part of total facial nerve palsy in nine. Immediate reconstruction was performed on nine patients, and it was done as a secondary procedure in the remainder. Two patients in the latter group had prior facial reanimation, although the paralyzed lower lip was not reconstructed. Results: The average follow-up period was 23.2 (range, 3-48) months. Satisfactory results were achieved in all of the patients, although revision of the ABDMT was required in one patient. Conclusions: ABDMT is a simple and reliable reconstructive technique for restoring the depressor function of the lower lip resulting from MMBFN palsy. It is the treatment of choice during primary extirpative surgery for head and neck tumors when the MMBFN requires sacrifice for tumor clearance or is inadvertently injured. The reconstructive options for MMBFN palsy, particularly in the absence of the anterior belly of digastric muscle, are discussed.",0,,0,1,0,0,2,1,0,10.1002/hed.10150,Head Neck. 2002 Oct;24(10):947-54. doi: 10.1002/hed.10150.,Tan ST.,2002,12369074,Grading system not specified,14,,,,,no nerve transfer,,,,,,
Pub-med,The three-stage concept to optimize the results of microsurgical reanimation of the paralyzed face,"From the authors three-dimensional video analyses they had to learn that the advantages of a one-stage procedure is outweighed by far by the disadvantages. A three-stage concept to a one-stage procedure was preferred for the following reasons: 1. Safety of having a cross-face nerve graft to cover the distance from the healthy facial nerve to the nerve of the muscle transplant without problems and without the danger of tension on the nerve suture line because of shortage of the muscle nerve. 2. Independence of anatomical variations like a very proximal muscle hilus in the latissimus dorsi muscle e.g., resulting in a too short muscle nerve. 3. Only face-lift incisions are necessary without the need of an additional incision in the nasolabial fold while using a cross-face nerve graft. 4. Freedom of positioning the muscle graft on the paralyzed side with free choice of the position of the transplant hilus. 5. The superficial temporal vessels can be used for microvascular anastomoses. 6. Prevention of a scar in the submandibular region with its tendency of hypertrophy, especially if it is connected to the preauricular incision. Different functional territories of one muscle transplant for eye closure and for smile is only possible in combination with two cross-face nerve grafts. Further on the three-dimensional video analysis showed clearly that Final surgical corrections for improvement of the static and dynamic symmetry should be performed. when the muscle transplant or the transposed muscle have gained their final functional result, which is often not before one or one and a half year after muscle transplantation. Therefore a three-stage concept is needed for the majority of patients. Detailed analyses of the movements in the different regions and the comparison of both sides clarify preoperatively the indication for the operative techniques to be used, and describe exactly the improvement of the overall result. It is not only possible to show, eg, the better positioning of the alar of the nose by a nasolabial dermal suspension plasty on the paralyzed side in millimeter, but also the influence on the relation of all the different points in the face (Fig. 5). The comparison of the right and the left side gives exact data on the symmetry of the face on rest and during the different movements. Of course, also qualities of facial reanimation like prevention of mass movements or synkinesias are detected in the three-dimensional graphs of all the points at the same time or in the repeated reviews of the original movement in the original video sequence. In conclusion, three-dimensional video analysis of facial movements became an important tool for online planning of operative procedures for the individual patient, and an excellent tool for comparative studies of different operative concepts and alternative operative techniques within a standardized registry of one center treating facial palsy or within international multicenter studies.",1,,2,0,1,3,1,2,0,10.1016/s0094-1298(02)00024-x,Clin Plast Surg. 2002 Oct;29(4):461-82. doi: 10.1016/s0094-1298(02)00024-x.,"Frey M, Giovanoli P.",2002,12484599,three-dimensional video analysis,56,,,,,Cross-facial nerve transfer,,,"['Alt flap', 'Latissimus dorsi flap']",Alt ,Latissimus dorsi flap,
Pub-med,Technique evolution for facial paralysis reconstruction using functioning free muscle transplantation--experience of Chang Gung Memorial Hospital,"The author performed facial reanimation by using functioning free muscle transplantation in 116 cases from 1986 to 2000. Three consecutive five-year periods are presented in relation to each stage of the author's technical improvement. The first five years bulkiness and asymmetrical smiling with weak gum exposure were encountered and required correction. The second five years was a period of technical improvement, but with residual deformities. The third five-year period was one of technique refinement. The author extended the utility of the gracilis for different and more challenged problems, such as the use of a muscle plus skin two-unit composite flap connected by the septoperforator nutrients, not only for facial reanimation but also for intra-oral contracture release or extra-oral facial soft tissue and skin deficits replacement.",0,,1,0,9,9,4,1,0,10.1016/s0094-1298(02)00021-4,"Clin Plast Surg. 2002 Oct;29(4):449-59, v. doi: 10.1016/s0094-1298(02)00021-4.",Chuang DC.,2002,12484598,,116,,,,,no nerve transfer,,,,,,
Pub-med,The treatment of unilateral and bilateral facial palsy using free muscle transfers,"A 25-year experience in the treatment of unilateral and bilateral facial palsies is presented. The advent of crossed facial nerve grafts and revascularized muscle grafts gives a high proportion of facial reanimation. The choice for the muscle graft is the pectoralis minor. The latissimus dorsi can be used in unfavorable cirumstances or in bilateral facial palsies. Although recovery of movement is high, the search for refinement and symmetry continues. This article encapsulates the author's philosophy in trying to achieve these goals.",0,,2,0,9,9,2,1,0,10.1016/s0094-1298(02)00023-8,"Clin Plast Surg. 2002 Oct;29(4):539-49, vi. doi: 10.1016/s0094-1298(02)00023-8.",Harrison DH.,2002,12484605,Pectoralis minor and LD flaps,227,,,Multiple nerve grafts:nerve graft,Pectoralis minor and LD flaps,no nerve transfer,,,"['Alt flap', 'Latissimus dorsi flap', 'Pectoralis minor flap']",Alt ,Latissimus dorsi flap,Pectoralis minor flap
Pub-med,Upper labial deficiency in Mobius syndrome: a previously unreported feature and its correction,"Bilateral facial palsy in M‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√Ñ√∂‚àö‚Ä†‚àö√°bius syndrome remains one of the greatest challenges in reconstructive plastic surgery. Facial reanimation is an invaluable aid to such patients because it allows for greater social interaction by means of the ability to smile. In performing facial reanimation surgery on patients with M‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√Ñ√∂‚àö‚Ä†‚àö√°bius syndrome, it is the observation of the senior author (Harrison) that upper labial deficiency is a consistent and previously unreported feature of the syndrome. It has been the practice of the senior author to perform upper labial augmentation on M‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√Ñ√∂‚àö‚Ä†‚àö√°bius syndrome patients by insertion of a lipodermal autograft, in addition to facial reanimation. Nine patients with M‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√Ñ√∂‚àö‚Ä†‚àö√°bius syndrome who presented to the Department of Plastic Surgery during an 8-year period were reviewed. All nine possessed bilateral facial palsy and upper labial deficiency in addition to other abnormalities consistent with M‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√Ñ√∂‚àö‚Ä†‚àö√°bius syndrome. Six patients underwent bilateral facial reanimation and upper labial augmentation alone. One patient refused facial reanimation surgery but consented to upper labial augmentation. One patient, with concomitant micrognathia, underwent bilateral facial reanimation, upper labial augmentation, and insertion of a Silastic chin implant. In one patient, a child who also exhibited micrognathia, bilateral facial reanimation alone was carried out, with further procedures for upper labial and chin cosmesis being postponed until adulthood. The indication for performing upper labial augmentation was cosmetic. The procedure improved upper labial appearance and restored balance to the mouth. Patients also expressed higher satisfaction with eating and drinking, which they related to the improved fullness of the upper lip. This was before the facial reanimation had become functional. Upper labial deficiency warrants addition to the list of facial features of M‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√Ñ√∂‚àö‚Ä†‚àö√°bius syndrome and is something that must be assessed in the context of facial reanimation surgery.",0,,0,0,0,9,4,1,0,10.1097/01.PRS.0000090721.16566.B3,Plast Reconstr Surg. 2003 Dec;112(7):1762-7. doi: 10.1097/01.PRS.0000090721.16566.B3.,"Sabbagh W, Shafighian A, Harrison DH.",2003,14663218,"Tools: clinical evaluation Outcomes: cosmesis, satisfaction while eating and drinking,  LD flaps",9,,,,,no nerve transfer,,,,,,
Embase,Arterial and venous anatomical features of the pectoralis minor muscle flap pedicle,"The pectoralis minor muscle has been used as an innervated, vascularized, free-muscle graft in the field of facial reanimation for 20 years. Throughout this period, several centers have demonstrated consistent success with functional muscle transfer; however, opinions regarding the arterial pedicle of the flap have varied. The lateral thoracic and thoracoacromial arteries have been proposed as the predominant arterial sources. It has been the experience of our unit that a vessel (not described in anatomy textbooks) arising directly from the axillary artery and entering the muscle from its dorsal surface provides the dominant supply to the flap and is capable of sustaining it for free-tissue transfer. The vascular pedicle encountered was recorded and photographed in 97 consecutive cases in which the pectoralis minor muscle flap was raised. The findings demonstrated that the dominant supply to the muscle was from a single artery in 77 percent of cases and took the form of an artery arising directly from the axillary vessel in 72 percent of cases. More than one major arterial source was noted in the remainder of the cases. The venous outflow was usually through single or multiple veins running directly from the muscle into the axillary vein.",0,,2,3,0,0,5,2,0,10.1097/01.PRS.0000105690.74659.95,Plastic and Reconstructive Surgery (2004) 113:3 (872-876). Date of Publication: March 2004,"MacQuillan A., Horlock N., Grobbelaar A., Harrison D.",2004,15108878,,97,,,,,no nerve transfer,,,['Pectoralis minor flap'],Pectoralis minor ,,
Pub-med,Neurovascular free-muscle transfer for the treatment of established facial paralysis following ablative surgery in the parotid region,"Neurovascular free-muscle transfer for facial reanimation was performed as a secondary reconstructive procedure for 45 patients with facial paralysis resulting from ablative surgery in the parotid region. This intervention differs from neurovascular free-muscle transfer for treatment of established facial paralysis resulting from conditions such as congenital dysfunction, unresolved Bell palsy, Hunt syndrome, or intracranial morbidity, with difficulties including selection of recipient vessels and nerves, and requirements for soft-tissue augmentation. This article describes the authors' operative procedure for neurovascular free-muscle transfer after ablative surgery in the parotid region. Gracilis muscle (n = 24) or latissimus dorsi muscle (n = 21) was used for transfer. With gracilis transfer, recipient vessels comprised the superficial temporal vessels in 12 patients and the facial vessels in 12. For latissimus dorsi transfer, recipient vessels comprised the facial vessels in 16 patients and the superior thyroid artery and superior thyroid or internal jugular vein in four. Facial vessels on the contralateral side were used with interpositional graft of radial vessels in the remaining patient with latissimus dorsi transfer. Cross-face nerve grafting was performed before muscle transfer in 22 patients undergoing gracilis transfer. In the remaining two gracilis patients, the ipsilateral facial nerve stump was used as the primary recipient nerve. Dermal fat flap overlying the gracilis muscle was used for cheek augmentation in one patient. In the other 23 patients, only the gracilis muscle was used. With latissimus dorsi transfer, the ipsilateral facial nerve stump was used as the recipient nerve in three patients, and a cross-face nerve graft was selected as the recipient nerve in six. The contralateral facial nerve was selected as the recipient nerve in 12 patients, and a thoracodorsal nerve from the latissimus dorsi muscle segment was crossed through the upper lip to the primary recipient branches. A soft-tissue flap was transferred simultaneously with the latissimus muscle segment in three patients. Contraction of grafted muscle was not observed in two patients with gracilis transfer and in three patients with latissimus dorsi transfer. In one patient with gracilis transfer and one patient with latissimus dorsi transfer, acquired muscle contraction was excessive, resulting in unnatural smile animation. The recipient nerves for both of these patients were the ipsilateral facial nerve stumps, which were dissected by opening the facial nerve canal in the mastoid process. From the standpoint of operative technique, the one-stage transfer for latissimus dorsi muscle appears superior. Namely, a combined soft-tissue flap can provide sufficient augmentation for depression of the parotid region following wide resection. A long vascular stalk of thoracodorsal vessels is also useful for anastomosis, with recipient vessels available after extensive ablation and neck dissection.",1,,1,3,0,9,2,1,0,10.1097/01.prs.0000117186.10112.87,Plast Reconstr Surg. 2004 May;113(6):1563-72. doi: 10.1097/01.prs.0000117186.10112.87.,"Takushima A, Harii K, Asato H, Ueda K, Yamada A.",2004,15114115,"Tools: Grading scale Outcomes: voluntary contraction, smile  gracilis and LD",45,,,Multiple nerve grafts:cross-face,gracilis and LD,Cross-facial nerve transfer,,,,,,
